"discipline","Institutions","Cites","Top_Papers","Cites_Per_Paper","rank_position"
"agricultural_sciences","DUY TAN UNIVERSITY","4507","7","29.08","1112"
"agricultural_sciences","UNIVERSITY OF IBADAN","4507","2","12.38","1112"
"agricultural_sciences","UNIVERSITY OF SOUTH FLORIDA","4506","6","21.87","1113"
"agricultural_sciences","UNIVERSITY OF ALABAMA BIRMINGHAM","4499","2","20.83","1114"
"agricultural_sciences","UNIVERSIDAD DE GUADALAJARA","4498","1","9.05","1115"
"agricultural_sciences","CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE","4496","7","13.75","1116"
"agricultural_sciences","UNIVERSITY OF UTAH","4495","2","20.43","1117"
"agricultural_sciences","CHUNG SHAN MEDICAL UNIVERSITY","4492","1","15.93","1118"
"agricultural_sciences","LINYI UNIVERSITY","4490","3","16.33","1119"
"agricultural_sciences","INSTITUTO FEDERAL DO RIO DE JANEIRO (IFRJ)","4483","4","24.5","1120"
"agricultural_sciences","MACQUARIE UNIVERSITY","4482","5","18.91","1121"
"agricultural_sciences","CHIBA UNIVERSITY","4477","0","12.72","1122"
"agricultural_sciences","XIHUA UNIVERSITY","4475","6","11.33","1123"
"agricultural_sciences","CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM","4471","3","22.24","1124"
"agricultural_sciences","BRIGHAM YOUNG UNIVERSITY","4470","3","17.74","1125"
"agricultural_sciences","CSIR - NATIONAL INSTITUTE INTERDISCIPLINARY SCIENCE & TECHNOLOGY (NIIST)","4462","6","27.04","1126"
"agricultural_sciences","UNIVERSITY OF ILLINOIS CHICAGO","4458","1","15.59","1127"
"agricultural_sciences","WEST POMERANIAN UNIVERSITY OF TECHNOLOGY","4448","1","11.86","1128"
"agricultural_sciences","UNIVERSIDADE FEDERAL DE JUIZ DE FORA","4443","3","12.52","1129"
"agricultural_sciences","NIZO FOOD RESEARCH","4431","1","35.45","1130"
"agricultural_sciences","UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL","4423","1","15.8","1131"
"agricultural_sciences","NIH DIVISION OF CANCER CONTROL & POPULATION SCIENCES","4416","8","133.82","1132"
"agricultural_sciences","NORTHUMBRIA UNIVERSITY","4409","5","26.09","1133"
"agricultural_sciences","KAUNAS UNIVERSITY OF TECHNOLOGY","4405","1","18.91","1134"
"agricultural_sciences","COLD & ARID REGIONS ENVIRONMENTAL & ENGINEERING RESEARCH INSTITUTE, CAS","4402","1","34.12","1135"
"agricultural_sciences","GLOBAL CHANGE RESEARCH CENTRE OF THE CZECH ACADEMY OF SCIENCES","4402","0","20.86","1135"
"agricultural_sciences","UNIVERSITY OF QUEBEC MONTREAL","4401","4","29.54","1136"
"agricultural_sciences","UNIVERSITY OF THE SUNSHINE COAST","4393","2","17.64","1137"
"agricultural_sciences","JORDAN UNIVERSITY OF SCIENCE & TECHNOLOGY","4390","0","13.85","1138"
"agricultural_sciences","TOBACCO RESEARCH INSTITUTE, CAAS","4389","5","20.7","1139"
"agricultural_sciences","JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY","4387","3","14.38","1140"
"agricultural_sciences","NSW HEALTH","4384","1","18.66","1141"
"agricultural_sciences","HANGZHOU NORMAL UNIVERSITY","4377","2","14.35","1142"
"agricultural_sciences","BANGLADESH AGRICULTURAL RESEARCH INSTITUTE (BARI)","4376","4","16.45","1143"
"agricultural_sciences","ISARA","4375","8","31.7","1144"
"agricultural_sciences","FONTERRA","4375","2","16.51","1144"
"agricultural_sciences","SHANGHAI ENGN RES CTR AQUAT PROD PROC & PRESERVAT","4356","7","17.64","1145"
"agricultural_sciences","INSTITUTE OF SOIL SCIENCE & PLANT CULTIVATION","4356","4","14.1","1145"
"agricultural_sciences","INTERNATIONAL CENTER FOR AGRICULTURAL RESEARCH IN THE DRY AREAS (ICARDA)","4355","4","13.04","1146"
"agricultural_sciences","NATIONAL YANG MING CHIAO TUNG UNIVERSITY","4351","2","17.62","1147"
"agricultural_sciences","UNIVERSIDAD DE ALCALA","4342","3","17.87","1148"
"agricultural_sciences","MENOFIA UNIVERSITY","4341","3","18.32","1149"
"agricultural_sciences","UNIVERSITY OF JORDAN","4329","5","18.5","1150"
"agricultural_sciences","UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO (UFERSA)","4326","0","4.67","1151"
"agricultural_sciences","KAOHSIUNG MEDICAL UNIVERSITY","4321","0","17.49","1152"
"agricultural_sciences","UNIVERSIDAD DE ANTIOQUIA","4311","2","11.03","1153"
"agricultural_sciences","HUN-REN CENTRE FOR AGRICULTURAL RESEARCH","4308","4","15.01","1154"
"agricultural_sciences","ROSLIN INSTITUTE","4306","1","18.32","1155"
"agricultural_sciences","YANAN UNIVERSITY","4304","5","26.57","1156"
"agricultural_sciences","ZHEJIANG SCI-TECH UNIVERSITY","4304","4","14.11","1156"
"agricultural_sciences","CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY","4295","7","15.91","1157"
"agricultural_sciences","NATIONAL INSTITUTE OF ANIMAL SCIENCE, REPUBLIC OF KOREA","4293","4","11.36","1158"
"agricultural_sciences","UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES","4287","7","21.43","1159"
"agricultural_sciences","RADBOUD UNIVERSITY NIJMEGEN","4280","2","18.14","1160"
"agricultural_sciences","CYPRUS UNIVERSITY OF TECHNOLOGY","4273","1","21.36","1161"
"agricultural_sciences","NATL RES CTR SOYBEAN ENGN & TECHNOL","4272","8","46.95","1162"
"agricultural_sciences","HESAM UNIVERSITE","4270","1","22.96","1163"
"agricultural_sciences","ZHEJIANG CHINESE MEDICAL UNIVERSITY","4269","3","13.42","1164"
"agricultural_sciences","KWAME NKRUMAH UNIVERSITY SCIENCE & TECHNOLOGY","4268","2","10.62","1165"
"agricultural_sciences","CIBEREHD","4265","3","24.51","1166"
"agricultural_sciences","JIANGSU NORMAL UNIVERSITY","4254","5","22.16","1167"
"agricultural_sciences","ICAR - NATIONAL BUREAU OF PLANT GENETICS RESOURCES","4245","3","7.54","1168"
"agricultural_sciences","XISHUANGBANNA TROPICAL BOTANICAL GARDEN, CAS","4238","2","17.88","1169"
"agricultural_sciences","CENTRO DE INVESTIGACION ECOLOGICA Y APLICACIONES FORESTALES (CREAF-CERCA)","4237","5","19.09","1170"
"agricultural_sciences","NEVADA SYSTEM OF HIGHER EDUCATION (NSHE)","4235","3","14.81","1171"
"agricultural_sciences","UNIVERSIDAD CATOLICA DE MURCIA","4228","2","14.84","1172"
"agricultural_sciences","ISTITUTO DI BIOMETEOROLOGIA (IBIMET-CNR)","4219","3","40.57","1173"
"agricultural_sciences","ZHEJIANG UNIVERSITY OF SCIENCE & TECHNOLOGY","4216","13","12.62","1174"
"agricultural_sciences","CONSERVATOIRE NATIONAL ARTS & METIERS (CNAM)","4215","1","23.42","1175"
"agricultural_sciences","UNIVERSITI TEKNOLOGI MARA","4213","5","13.25","1176"
"agricultural_sciences","AGR RES ORG","4207","2","18.29","1177"
"agricultural_sciences","UNIVERSITY OF BASEL","4206","3","17.82","1178"
"agricultural_sciences","SHAHID BAHONAR UNIVERSITY OF KERMAN (SBUK)","4206","4","16.43","1178"
"agricultural_sciences","UNIVERSIDAD VERACRUZANA","4205","3","10.49","1179"
"agricultural_sciences","UNIVERSITY OF TEXAS AUSTIN","4204","2","18.36","1180"
"agricultural_sciences","SOUTHWEST MINZU UNIVERSITY","4194","1","14.03","1181"
"agricultural_sciences","UNIV SWABI","4181","5","31.67","1182"
"agricultural_sciences","SOUTHWEST FORESTRY UNIVERSITY - CHINA","4177","6","9.83","1183"
"agricultural_sciences","PONDICHERRY UNIVERSITY","4167","2","21.93","1184"
"agricultural_sciences","MEDICAL UNIVERSITY OF BIALYSTOK","4156","7","19.24","1185"
"agricultural_sciences","MAGNA GRAECIA UNIVERSITY OF CATANZARO","4154","4","21.3","1186"
"agricultural_sciences","KING FAISAL UNIVERSITY","4150","13","9.28","1187"
"agricultural_sciences","ABANT IZZET BAYSAL UNIVERSITY","4146","1","11.33","1188"
"agricultural_sciences","HOSPITAL DEL MAR","4143","3","22.89","1189"
"agricultural_sciences","SHER-E-KASHMIR UNIVERSITY OF AGRICULTURAL SCIENCES & TECHNOLOGY OF JAMMU (SKUAST JAMMU)","4133","5","10.52","1190"
"agricultural_sciences","UNIVERSITY OF MILANO-BICOCCA","4104","3","18.91","1191"
"agricultural_sciences","EMBRAPA AGROIND ALIMENTOS","4102","0","15.36","1192"
"agricultural_sciences","JIANGXI ACADEMY OF AGRICULTURAL SCIENCES","4101","2","15.65","1193"
"agricultural_sciences","NATL UNIV SINGAPORE SUZHOU","4093","5","40.52","1194"
"agricultural_sciences","UNIVERSITE DE BRETAGNE OCCIDENTALE","4089","1","22.1","1195"
"agricultural_sciences","MUSEUM NATIONAL D'HISTOIRE NATURELLE (MNHN)","4088","2","24.19","1196"
"agricultural_sciences","UNIVERSITY OF NAIROBI","4084","0","11.77","1197"
"agricultural_sciences","ICAR - CENTRAL PLANTATION CROPS RESEARCH INSTITUTE","4083","7","14.58","1198"
"agricultural_sciences","UNIVERSITY OF LA REUNION","4079","1","11.69","1199"
"agricultural_sciences","RIDDET INST","4070","0","19.02","1200"
"agricultural_sciences","WORLD INSTITUTE OF KIMCHI","4065","0","15.34","1201"
"agricultural_sciences","AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS","4063","7","10.5","1202"
"agricultural_sciences","LIAOCHENG UNIVERSITY","4057","2","13.85","1203"
"agricultural_sciences","GUANGDONG FOOD GREEN PROC & NUTR REGULAT TECHNOL","4054","2","43.13","1204"
"agricultural_sciences","SOUTHERN CROSS UNIVERSITY","4048","0","17.01","1205"
"agricultural_sciences","IITA","4037","4","28.43","1206"
"agricultural_sciences","PENNINGTON BIOMEDICAL RESEARCH CENTER","4032","6","22.53","1207"
"agricultural_sciences","CHINA NATL CTR FOOD SAFETY RISK ASSESSMENT","4027","0","16.57","1208"
"agricultural_sciences","NERC BRITISH GEOLOGICAL SURVEY","4026","3","40.67","1209"
"agricultural_sciences","GANSU ACADEMY OF AGRICULTURAL SCIENCES","4010","3","14.02","1210"
"agricultural_sciences","TSHWANE UNIVERSITY OF TECHNOLOGY","4009","3","19","1211"
"agricultural_sciences","YANTAI INSTITUTE OF COASTAL ZONE RESEARCH, CAS","3999","3","21.85","1212"
"agricultural_sciences","SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY","3996","4","24.67","1213"
"agricultural_sciences","UNIVERSITY OF WYOMING","3990","3","15.47","1214"
"agricultural_sciences","JIANGSU OCEAN UNIVERSITY","3989","3","17.27","1215"
"agricultural_sciences","CNRS - NATIONAL INSTITUTE FOR EARTH SCIENCES & ASTRONOMY (INSU)","3972","3","24.67","1216"
"agricultural_sciences","TIANJIN AGRICULTURAL UNIVERSITY","3970","2","11.25","1217"
"agricultural_sciences","ISTITUTO SUPERIORE DI SANITA (ISS)","3969","4","22.3","1218"
"agricultural_sciences","VIETNAM NATIONAL UNIVERSITY HO CHI MINH CITY (VNUHCM) SYSTEM","3964","2","12.75","1219"
"agricultural_sciences","JIMMA UNIVERSITY","3961","2","11.03","1220"
"agricultural_sciences","SOUTHERN ILLINOIS UNIVERSITY","3960","3","16.85","1221"
"agricultural_sciences","UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI (UFVJM)","3956","1","7.96","1222"
"agricultural_sciences","NATIONAL CENTER FOR GERIATRICS & GERONTOLOGY","3955","7","34.39","1223"
"agricultural_sciences","UNIVERSIDAD REY JUAN CARLOS","3952","1","17.49","1224"
"agricultural_sciences","UNIVERSITY OF SALENTO","3949","1","17.32","1225"
"agricultural_sciences","GADJAH MADA UNIVERSITY","3948","0","8.91","1226"
"agricultural_sciences","UNIVERSITY OF BATH","3946","6","28.19","1227"
"agricultural_sciences","NANTES UNIVERSITE","3942","3","18.33","1228"
"agricultural_sciences","UNIVERSITY OF MISSISSIPPI","3938","6","21.4","1229"
"agricultural_sciences","POTSDAM INSTITUT FUR KLIMAFOLGENFORSCHUNG","3936","6","37.13","1230"
"agricultural_sciences","UNIVERSITY OF WURZBURG","3936","4","27.52","1230"
"agricultural_sciences","AALBORG UNIVERSITY","3931","0","17.95","1231"
"agricultural_sciences","CTR INVEST & ASISTENCIA TECNOL & DISENO ESTADO JA","3926","3","26.17","1232"
"agricultural_sciences","COVENTRY UNIVERSITY","3917","4","20.19","1233"
"agricultural_sciences","SHOOLINI UNIVERSITY","3913","11","17.95","1234"
"agricultural_sciences","INSTITUTE OF CHEMICAL INDUSTRY OF FOREST PRODUCTS, CAF","3892","0","19.17","1235"
"agricultural_sciences","OSAKA METROPOLITAN UNIVERSITY","3884","1","11.29","1236"
"agricultural_sciences","UNIVERSITY OF STIRLING","3878","4","26.03","1237"
"agricultural_sciences","RESEAU ETAB ENSEIGN SUPER RECH CHAMPAGNE ARDENNE","3877","3","19.39","1238"
"agricultural_sciences","UNIVERSITY OF MUNSTER","3869","1","20.91","1239"
"agricultural_sciences","TECHNISCHE UNIVERSITAT WIEN","3867","1","43.45","1240"
"agricultural_sciences","LEIBNIZ INSTITUT FUR GEMUSE- UND ZIERPFLANZENBAU (IGZ)","3867","2","22.75","1240"
"agricultural_sciences","IULIU HATIEGANU UNIVERSITY OF MEDICINE & PHARMACY","3867","4","22.1","1240"
"agricultural_sciences","SWINBURNE UNIVERSITY OF TECHNOLOGY","3866","3","24.62","1241"
"agricultural_sciences","UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","3861","3","19.9","1242"
"agricultural_sciences","UNIVERSITE DE STRASBOURG","3857","7","22.56","1243"
"agricultural_sciences","UNIV AUTONOMA CHAPINGO","3838","2","7.04","1244"
"agricultural_sciences","ECOLE NATIONALE VETERINAIRE DE TOULOUSE","3824","2","14.48","1245"
"agricultural_sciences","CIMMYT","3819","3","28.5","1246"
"agricultural_sciences","ARGONNE NATIONAL LABORATORY","3816","6","44.37","1247"
"agricultural_sciences","LITHUANIAN RESEARCH CENTRE FOR AGRICULTURE & FORESTRY","3815","0","10.42","1248"
"agricultural_sciences","RWTH AACHEN UNIVERSITY","3805","3","22.78","1249"
"agricultural_sciences","UNIVERSITY OF WAIKATO","3801","3","23.76","1250"
"agricultural_sciences","YUZUNCU YIL UNIVERSITY","3800","2","9.67","1251"
"agricultural_sciences","INSTITUTE OF MICROBIOLOGY OF THE CZECH ACADEMY OF SCIENCES","3794","5","27.1","1252"
"agricultural_sciences","UNIVERSIDAD AUTONOMA DE CHIHUAHUA","3794","0","10.97","1252"
"agricultural_sciences","UNIVERSITY OF ZIMBABWE","3792","4","16.85","1253"
"agricultural_sciences","HARPER ADAMS UNIVERSITY","3783","3","13.41","1254"
"agricultural_sciences","FARMLAND IRRIGATION RESEARCH INSTITUTE, CAAS","3780","3","21.36","1255"
"agricultural_sciences","UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS","3779","3","12.9","1256"
"agricultural_sciences","KING MONGKUTS INSTITUTE OF TECHNOLOGY LADKRABANG","3774","0","10.78","1257"
"agricultural_sciences","UNIVERSITY OF ABOMEY CALAVI","3772","0","8.61","1258"
"agricultural_sciences","UNIVERSITY OF MARYLAND BALTIMORE","3770","5","23.56","1259"
"agricultural_sciences","UNIVERSITY OF EASTERN PIEDMONT AMEDEO AVOGADRO","3764","2","17.75","1260"
"agricultural_sciences","INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA URUGUAY (INIA)","3759","1","11.75","1261"
"agricultural_sciences","UNIVERSITY OF OULU","3755","3","20.3","1262"
"agricultural_sciences","MAKERERE UNIVERSITY","3754","1","10.43","1263"
"agricultural_sciences","INSTITUT D'INVESTIGACIO BIOMEDICA DE BELLVITGE (IDIBELL)","3743","2","18","1264"
"agricultural_sciences","GUIZHOU ACADEMY OF AGRICULTURAL SCIENCES","3742","2","10.34","1265"
"agricultural_sciences","MEDICAL UNIVERSITY GDANSK","3740","4","14.84","1266"
"agricultural_sciences","UNIVERSITY OF CENTRAL FLORIDA","3739","4","27.49","1267"
"agricultural_sciences","UNIVERSITY OF DELHI","3726","3","15.09","1268"
"agricultural_sciences","CHINESE ACADEMY OF INSPECTION & QUARANTINE","3721","1","14.65","1269"
"agricultural_sciences","SHENYANG NORMAL UNIVERSITY","3716","4","18.58","1270"
"agricultural_sciences","UNIVERSIDADE FEDERAL DO PAMPA","3709","1","8.75","1271"
"agricultural_sciences","GALANAKIS LABS","3707","10","80.59","1272"
"agricultural_sciences","BULGARIAN ACADEMY OF SCIENCES","3706","4","13.83","1273"
"agricultural_sciences","BYDGOSZCZ UNIVERSITY OF SCIENCE & TECHNOLOGY","3700","1","9.49","1274"
"agricultural_sciences","UNIVERSIDADE FEDERAL DE AMAZONAS","3697","1","9.89","1275"
"agricultural_sciences","CHU DE TOULOUSE","3693","4","29.08","1276"
"agricultural_sciences","HEBEI UNIVERSITY OF SCIENCE & TECHNOLOGY","3693","2","16.13","1276"
"agricultural_sciences","XI'AN UNIVERSITY OF SCIENCE & TECHNOLOGY","3691","10","39.27","1277"
"agricultural_sciences","CENT VAL LOIRE COMUE","3690","1","13.57","1278"
"agricultural_sciences","ECOLE NATIONALE VETERINAIRE D'ALFORT (ENVA)","3680","2","16.73","1279"
"agricultural_sciences","FU JEN CATHOLIC UNIVERSITY","3680","2","13.53","1279"
"agricultural_sciences","UNIVERSITY OF LODZ","3678","5","19.77","1280"
"agricultural_sciences","GERMAN RESEARCH FOUNDATION (DFG)","3674","3","18.84","1281"
"agricultural_sciences","GENERAL DIRECTORATE OF AGRICULTURAL RESEARCH & POLICIES (TAGEM) - REPUBLIC OF TURKIYE MINISTRY OF AGRICULTURE & FORESTRY","3673","0","7.6","1282"
"agricultural_sciences","INSTITUT NATIONAL DE LA RECHERCHE SCIENTIFIQUE (INRS)","3670","2","29.13","1283"
"agricultural_sciences","TECHNOL UNIV DUBLIN","3665","6","22.62","1284"
"agricultural_sciences","SEOUL WOMEN'S UNIVERSITY","3659","1","17.51","1285"
"agricultural_sciences","ERASMUS UNIVERSITY ROTTERDAM","3659","2","17.26","1285"
"agricultural_sciences","ICAR - CENTRAL INSTITUTE OF FISHERIES TECHNOLOGY","3656","3","18.46","1286"
"agricultural_sciences","HEBEI NORMAL UNIVERSITY OF SCIENCE & TECHNOLOGY","3655","3","16.1","1287"
"agricultural_sciences","NIGDE OMER HALISDEMIR UNIVERSITY","3654","2","11.11","1288"
"agricultural_sciences","CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO","3653","2","14.61","1289"
"agricultural_sciences","INSTITUTO NACIONAL DE SALUD PUBLICA","3651","3","14.32","1290"
"agricultural_sciences","YESHIVA UNIVERSITY","3650","4","33.8","1291"
"agricultural_sciences","LEBANESE UNIVERSITY","3649","3","20.27","1292"
"agricultural_sciences","GEORGE WASHINGTON UNIVERSITY","3643","5","18.49","1293"
"agricultural_sciences","MINISTRY OF FOOD & DRUG SAFETY (MFDS), REPUBLIC OF KOREA","3641","1","14.17","1294"
"agricultural_sciences","GERMAN CENTRE FOR INTEGRATIVE BIODIVERSITY RESEARCH (IDIV)","3633","3","18.82","1295"
"agricultural_sciences","MINIST HLTH","3633","0","14.95","1295"
"agricultural_sciences","VELLORE INSTITUTE OF TECHNOLOGY (VIT)","3627","2","23.71","1296"
"agricultural_sciences","MAE FAH LUANG UNIVERSITY","3627","2","15.37","1296"
"agricultural_sciences","NAMIK KEMAL UNIVERSITY","3625","1","10.3","1297"
"agricultural_sciences","GANGNEUNG-WONJU NATIONAL UNIVERSITY","3621","1","13.51","1298"
"agricultural_sciences","TAMPERE UNIVERSITY","3619","0","15.47","1299"
"agricultural_sciences","HOSPITAL FOR SICK CHILDREN (SICKKIDS)","3618","2","17.91","1300"
"agricultural_sciences","BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY","3614","1","19.22","1301"
"agricultural_sciences","ICAR - INDIAN GRASSLAND & FODDER RESEARCH INSTITUTE","3614","6","9.2","1301"
"agricultural_sciences","HUNGARIAN ACADEMY OF SCIENCES","3605","2","20.03","1302"
"agricultural_sciences","LIAONING ACADEMY OF AGRICULTURAL SCIENCES","3604","0","10.82","1303"
"agricultural_sciences","DAIRYNZ","3599","0","15.06","1304"
"agricultural_sciences","SMITHSONIAN INSTITUTION","3598","0","17.22","1305"
"agricultural_sciences","BAYER CROPSCIENCE","3598","2","14.39","1305"
"agricultural_sciences","GENERAL MILLS, INC.","3595","4","33.6","1306"
"agricultural_sciences","STEFAN CEL MARE UNIVERSITY OF SUCEAVA","3591","5","22.3","1307"
"agricultural_sciences","KAGOSHIMA UNIVERSITY","3588","1","11.73","1308"
"agricultural_sciences","UNIVERSITY OF MIAMI","3580","4","28.19","1309"
"agricultural_sciences","HOPITAL UNIVERSITAIRE AVICENNE - APHP","3573","3","29.05","1310"
"agricultural_sciences","HEINRICH HEINE UNIVERSITY DUSSELDORF","3573","4","26.27","1310"
"agricultural_sciences","UNIVERSITY OF CAPE TOWN","3572","6","19.41","1311"
"agricultural_sciences","BANGLADESH RICE RESEARCH INSTITUTE (BRRI)","3567","2","20.98","1312"
"agricultural_sciences","NEAR EAST UNIVERSITY","3567","2","17.49","1312"
"agricultural_sciences","GRIFFITH UNIVERSITY - GOLD COAST CAMPUS","3562","2","17.38","1313"
"agricultural_sciences","UMM AL-QURA UNIVERSITY","3562","3","11.56","1313"
"agricultural_sciences","SAINT LOUIS UNIVERSITY","3561","4","32.97","1314"
"agricultural_sciences","VIT VELLORE","3558","2","24.71","1315"
"agricultural_sciences","","0","0","0","1316"
"biology_biochemistry","NARA INSTITUTE OF SCIENCE & TECHNOLOGY","9567","3","22.25","1287"
"biology_biochemistry","GUANGDONG ACADEMY OF MEDICAL SCIENCES & GUANGDONG GENERAL HOSPITAL","9548","7","15.18","1288"
"biology_biochemistry","INSTITUTE OF OCEANOLOGY, CAS","9522","1","18.56","1289"
"biology_biochemistry","DEUTSCHES ELEKTRONEN-SYNCHROTRON (DESY)","9520","3","29.57","1290"
"biology_biochemistry","POLYTECHNIC UNIVERSITY OF MILAN","9506","2","18.32","1291"
"biology_biochemistry","ZUNYI MEDICAL UNIVERSITY","9503","5","13.58","1292"
"biology_biochemistry","INSTITUTE OF COMPUTING TECHNOLOGY, CAS","9480","13","74.65","1293"
"biology_biochemistry","UNIVERSITY OF WROCLAW","9466","5","17.63","1294"
"biology_biochemistry","UNIVERSITY OF MARYLAND BALTIMORE COUNTY","9464","6","29.95","1295"
"biology_biochemistry","INTERNATIONAL CENTER FOR GENETIC ENGINEERING & BIOTECHNOLOGY (ICGEB)","9462","1","17.36","1296"
"biology_biochemistry","UNIVERSITY OF PUNJAB","9451","2","12.89","1297"
