序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
20,0,230680192704,3546706624907441,账号已注销,0,保密,笑死我了，分手快乐！,2024-07-10 09:11:02,0,0,,河南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
21,0,230166028832,3546714438896237,账号已注销,0,保密,AI本意上就是无法复活亲人的，亲人归根结底是实体，而AI所谓复活的亲人不过是一串数字代码而已,2024-07-07 11:02:27,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
22,0,230165922752,3546714438896237,账号已注销,0,保密,AI是无法复活亲人——主要是亲人是实体，而不是一串数字代码,2024-07-07 11:01:43,0,1,,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,0,229684229344,488939727,我进入了魔法世界,5,保密,我就乐意被复活，谁不让我发评论了？你们管我。,2024-07-04 16:29:26,0,0,,北京,是,https://i0.hdslb.com/bfs/face/953cac63a8f88c2c52b33003f3e03c3832123d98.png
24,0,229683812704,488939727,我进入了魔法世界,5,保密,反正我支持这个ai复活，我觉得没什么大不了，现实里这种事情挺多，ai不就是新鲜一点罢了。谁把我做成电子ai然后只是拿来怀念我我是无所谓的。跟什么我留一本书一封信给对方差不多。对方自己用爱发电做一个我的分身，他高兴就好了，只要不恶搞...我真的无所谓。,2024-07-04 16:25:45,0,1,,北京,是,https://i0.hdslb.com/bfs/face/953cac63a8f88c2c52b33003f3e03c3832123d98.png
25,0,229401252560,629380461,AfakeElonMusk,6,保密,这个世界上第一快乐的人是不需要对别人负责的人，第二快乐的人就是从不回头看的人。,2024-07-03 04:06:32,0,0,,安徽,否,https://i0.hdslb.com/bfs/face/e6ba66fcb8efdc08b724e8758134ece0a86b2728.jpg
26,0,228350098880,3494358210840576,你笑得就像海市蜃楼q,5,男,罗老师，能不能讲一下最近公布的《关于依法惩治“台独”顽固分子分裂国家、煽动分裂国家犯罪的意见》这个事情啊,2024-06-26 22:04:16,0,1,,新疆,否,https://i0.hdslb.com/bfs/face/fa130d3788d32988947bc13ba2b10bd397fcec0f.jpg
27,0,227047137072,102698007,寒子绝,6,保密,希望有一天数据发达，能够像流浪地球里面的数据一样，将人体意识整体上传,2024-06-19 02:29:54,0,1,赢了，赢了又怎么样？,江苏,是,https://i0.hdslb.com/bfs/face/199ebd1006852e1abc5451cac7856de6832ca24e.jpg
28,0,226487729696,509990076,月明残梦,6,保密,我是秦始皇，现在准备用ai复活，v我50[doge],2024-06-15 12:19:54,0,0,"更新一些动作游戏
主要在研究绘画，顺便也在研究一些唯物辩证哲学
希望能结交对画画拥有坚定的信念，和懂得唯物辩证法的，一些志同道合的人",江苏,是,https://i0.hdslb.com/bfs/face/a868d86e159aae1bbb0d36b0e9fb3f51b326b4bc.jpg
29,0,226039311952,479876127,张远达大帅比,5,保密,本集要素过多[脱单doge],2024-06-12 18:31:14,0,1,所有身份里最习惯的是精神病患,河南,否,https://i0.hdslb.com/bfs/face/70de6f496e37cc275dd5b42dd0688b2a72846885.jpg
30,0,225466514464,171297462,雪榕树,6,保密,做过英语阅读，那篇文章的核心也是围绕死去的人和活着的人的权利来说的,2024-06-09 08:33:36,0,0,星光恰如此坠落。,陕西,是,https://i0.hdslb.com/bfs/face/c84b5972c3ffcc6bbe29e187eede5bf69f63b95f.jpg
31,0,225325702704,3546651058768362,irF6btdvom,2,保密,赞同[大笑][大笑][大笑],2024-06-08 11:47:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c9c28c6e531f35a58111c73454255e1bff9a7c73.jpg
32,0,225248966544,695056005,bili_50948747418,3,保密,尊重逝者,2024-06-08 03:10:06,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
33,0,225160589888,403026558,你妹的昵称已使用,5,保密,关于ai复活，自己生前自愿去做自己的ai，做成单机版，需要的人直接运行单机版即可。,2024-06-07 12:06:22,0,0,原理模型：1模仿；2形成成见。,山西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
34,0,225159536224,403026558,你妹的昵称已使用,5,保密,小美男朋友死了，很伤心。如果每个人都能想一想，当自己死了，一切对自己来说都化为了乌有，没什么是不可以失去的，也就不那么难过了。,2024-06-07 11:59:33,0,0,原理模型：1模仿；2形成成见。,山西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
35,0,225135919616,560738,_奶牛菌,6,男,影像只是目前的初级阶段吧，以后直接制作一个生化人AI来替代。语气、性格、长相全一样。 参考很多美国的科幻电影,2024-06-07 09:39:08,0,0,小透明，你看不见我,广东,否,https://i2.hdslb.com/bfs/face/8812a27cc470e3e5385c2aeecf5fb24cd5aaaddb.gif
36,0,225120174400,1853466531,孤勇之隐,5,保密,@AI视频小助理,2024-06-07 07:36:29,0,0,？,陕西,否,https://i0.hdslb.com/bfs/face/c69b1787537c84173179841d31c05b3983304f00.jpg
37,0,224121025728,3546692624321142,听天桥说书,3,保密,thx the tech,2024-05-31 21:50:35,0,0,,法国,否,https://i0.hdslb.com/bfs/face/f26775f28781479eb303e4d887fbe191d7337fc6.jpg
38,0,223886019600,342811729,摘个月亮做灯芯99,5,女,"笔记：
1、9999多种套餐
2、要选就选最贵的
3、朋友圈也不都是朋友
4、死者家属的情感
5、值得研究 真的非常非常复杂
6、大千世界无奇不有
7、自由 道德自律  欲望的奴隶
8、自我的渺小 崇高",2024-05-30 08:49:20,0,1,,四川,否,https://i1.hdslb.com/bfs/face/290b99bcf40045ef786e175910e88d11273521af.jpg
39,0,223693460768,21448670,狂奋斗,6,男,@AI视频小助理,2024-05-29 02:38:26,0,0,跌落深渊之人，迷茫的寻找着生命的意义。希望，绝望，无穷尽循环。驱使着我的动力，意义究竟是什么…失去的话，我该如何继续。好累，不甘，无能为力。,上海,是,https://i2.hdslb.com/bfs/face/87ed02372ee82c9e722804327c607b08df89d1bf.jpg
40,0,223423258288,23755137,艾尔花和欧幂,5,保密,罗老师想找你问一些法律方面的事，可以私信留个联系方式吗,2024-05-27 06:16:38,0,0,,浙江,是,https://i0.hdslb.com/bfs/face/1ba10a8654493b46d0c90c2e52f4c8d5d509334c.jpg
41,0,223096880944,73674763,苏镰与锤,5,保密,罗老师加个好友行吗有些问题想请教一下,2024-05-25 06:05:04,0,0,,辽宁,否,https://i1.hdslb.com/bfs/face/7728bfad2d97ffd9739738f7a57157c400240ebf.jpg
42,0,222806300640,1150210264,傑西羅,5,保密,"未經他人苦,莫勸他人善",2024-05-23 09:41:40,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
43,0,222385799600,53877940,Yui丶希,6,保密,遗嘱里加上我觉得可以，到以后年满18的人需要去签订一些基础的遗嘱协议可以先不包括遗产跟器官捐献这种，但可以把死后ai定制什么的这种先选上。,2024-05-20 12:20:56,1,3,,浙江,否,http://i1.hdslb.com/bfs/face/ff1b19b385a2c6e28d7138e3a4e0f6b6754833c1.jpg
44,222385799600,229677173136,488939727,我进入了魔法世界,5,保密,我觉得完全可以,2024-07-04 15:40:50,0,1,,北京,是,https://i0.hdslb.com/bfs/face/953cac63a8f88c2c52b33003f3e03c3832123d98.png
45,0,221846123664,599050,maison6sirhanz,6,女,我想看AI罗翔能说些什么,2024-05-17 06:03:36,0,1,互联网义务教育家,上海,否,https://i1.hdslb.com/bfs/face/1fd5be4f93e3be65f1016f5806a5d01466e32481.jpg
46,0,221775696640,125754585,呆呆槑了,5,保密,AI立遗嘱算什么,2024-05-16 15:38:18,0,0,,广西,是,https://i0.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg
47,0,221642354320,3546611827346190,全网灿烂发展up,2,保密,凌晨两点半还有人在看吗,2024-05-15 18:32:29,0,0,,辽宁,否,https://i0.hdslb.com/bfs/face/9073d7b0c4bb63f6e39868f7a83e4cad9c34237f.jpg
48,0,221629910864,86888447,水雨青,6,男,ai复活这种事，你冷静下来想想就会发现这个ai仍旧不是自己认识的亲人或者朋友这仍旧只是一种你自我欺骗的手段，更何况现在ai仍旧那么多漏洞想模拟一个不在世的人的思考方式只能说还是天方夜谭,2024-05-15 16:15:09,0,0,,上海,是,https://i2.hdslb.com/bfs/face/1f3cf4633bc0b3ee500bab6c0c559b35854923cd.jpg
49,0,221620571216,3493112468998410,爱玩游戏的欧尼酱,4,男,罗老师，最近的央视ai广播剧侵权怎么看,2024-05-15 15:13:25,0,0,我很随便,浙江,否,https://i0.hdslb.com/bfs/face/6fb05f895d854e68419d45eef2c2e272b04ad25f.jpg
50,0,221575353440,387794901,非想非非非非想,5,保密,这是黑镜第二季里的一集。,2024-05-15 10:19:51,0,0,,河南,否,https://i0.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
51,0,221478696192,66952592,荡平狂猎持灯人,6,保密,罗老师什么时候讲讲最近的那个《反犹太主义意识法案》？,2024-05-14 16:13:52,0,0,,辽宁,是,https://i2.hdslb.com/bfs/face/e2bf1c15d3a37a4b279883f17c92dac660798b50.jpg
52,0,221456696752,16280789,世界上最好的果果,6,保密,感觉这种东西会被恶用，研究用还无所谓。用于私人最好禁止,2024-05-14 13:59:40,0,0,,江西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
53,0,221397020624,15026571,PsiDium_,6,男,除非本人复活，否则都是假象,2024-05-14 07:10:51,0,1,这里没有你想要的东西。,广东,否,https://i0.hdslb.com/bfs/face/b7b45ae839e93fc87521368f169a32ef7daf1d54.jpg
54,0,221394194800,151336873,Chickun音樂製作人,6,男,法律允许的话，如果我是张三，我就让小美买一台高配的MacBook Pro，自己用开源的AI模型微调一个，我只收她几百块钱的工本费和培训费，电脑还是她的，只要电脑不坏就可以永久使用。[脱单doge],2024-05-14 06:44:34,0,0,做鬼畜的运维工程师,法国,否,https://i1.hdslb.com/bfs/face/5ec7f4ea3145c5a1e514285292466c81965c1d24.jpg
55,0,221362161664,28261155,和光同尘V,6,女,我不希望我的家人变成电子宠物[辣眼睛],2024-05-14 02:46:56,0,0,这个人真的懒死了，真的什么都没写(▼皿▼#) ,浙江,是,https://i0.hdslb.com/bfs/face/eb910e3c21e628b1093828397e7f7e43869d8e91.jpg
56,0,221197626976,77052600,三峰三峰三峰,6,保密,我就只问罗老师，犯罪既遂与犯罪未遂在处罚上有多大不同？[doge],2024-05-13 01:31:11,0,0,7,广东,是,https://i0.hdslb.com/bfs/face/93c35a0e2ec50a08733e1810e66c048e0960bf3b.jpg
57,0,221048292304,217041624,无惧魍魉,4,男,当然有风险，尤其是家产已经分完的话。,2024-05-12 03:40:01,0,1,希望大家能够自重，我没义务教你做人。自己几斤几两不知道，非要拉黑才过瘾?年龄是岁月的积累，更应是见识的增长，怎么就你们越活越贱呢？,吉林,否,https://i0.hdslb.com/bfs/face/5574e646c4e04d1d1e96fca5d4a339dddca8be55.jpg
58,0,220880451024,354766679,顾平林,6,保密,又不是真的复活，假的就是假的,2024-05-11 03:31:23,0,1,钟离无限最帅了,湖南,是,https://i2.hdslb.com/bfs/face/b6f7bdc5267d12daecec99699381de27032756dd.jpg
59,0,220678129328,3546672216935278,Louise木兰花,2,保密,罗翔老师怎么联系您打官司,2024-05-09 16:23:44,0,0,,山西,否,https://i1.hdslb.com/bfs/face/4a63eb638d0abdf1d5fe8000bcc351ff979818fd.jpg
60,0,220590016720,48733037,寒月孤星5,6,保密,5：48字错了，应该是感人付费的话[脱单doge],2024-05-09 05:51:28,0,0,喜欢动漫，喜欢美好。暂停更新。,重庆,是,http://i2.hdslb.com/bfs/face/545a721073eb7e0e188999666a0b197c28ceaf66.jpg
61,0,220551943552,1793634039,不能吃猪肉,5,女,谢谢你，罗老师。,2024-05-09 00:31:48,0,2,,河北,是,https://i0.hdslb.com/bfs/face/93e7026f47886e31287398c55c409842bfa0f45d.jpg
62,0,220467189264,634552992,那年初见少年郎,3,保密,有大神可以回答一下吗？,2024-05-08 09:44:27,0,0,,贵州,否,https://i0.hdslb.com/bfs/face/6419bdc4e99b091903123366317932c04fc5df09.jpg
63,0,220453558592,499110317,向日葵的小葵花,5,保密,罗老师想寻求一下您的帮助，我在小红书上面进行了实名认证，可能是因为我变更了手机号码的缘故吧（我猜的，变更后的手机号是本月刚入手的），被别人的账号占用了，我多次和小红书官方客服沟通无果，随后向互联网信息服务平台投诉了，给出的回复也都是解决不了问题。打了02112345也没回信，中央网信办投诉了也没信。我只有向微法院立案起诉了行吟科技信息（上海）有限公司。罗老师，现在的互联网维权就这么难吗？以前没接触过不觉得，这次深有体会！罗老师有什么建议吗？个人信息维权这一块儿。@罗翔说刑法,2024-05-08 07:46:00,0,1,,河南,否,https://i2.hdslb.com/bfs/face/f0fb132de70adf9ad6dfaee6a85108f398207767.jpg
64,0,220421819008,521969607,记忆中的空白人生,5,保密,罗老师，有的学校说，不去实习不发毕业证，这种行为合法吗？,2024-05-08 03:18:40,0,0,我愿意成为她的守护天使，爱她所爱，思她所思，为她承担伤痛，渡过苦难 。无论贫寒或富贵，无论卑贱或高贵；无论身处乱世，或神所不顾。,河南,否,https://i0.hdslb.com/bfs/face/829b1d217474290945d4d4af112702debb20e17b.jpg
65,0,220407408672,1118898199,星游四方OvO,5,保密,你信我是秦始皇还是信罗老师[傲娇],2024-05-08 00:52:06,0,2,一个喜欢打各种游戏的up主，有什么想看的游戏可以告诉我哦OvO,湖南,是,https://i1.hdslb.com/bfs/face/ccc5b43ef95acf87e96e284f8aec7d2e94f5308d.webp
66,0,220382300928,660821600,落樱小橘OvO,3,保密,把你手机给我[脱单doge][脱单doge],2024-05-07 16:24:30,0,0,,河南,否,https://i2.hdslb.com/bfs/face/3f0d6c812a4da351f3c9e7a4f9f19b5572575b2f.jpg
67,0,220314744368,3546384112290533,道系且沙雕的,3,保密,所以说张三到底是谁，怎么这么多身份[疑惑]罗翔老师见过张三吗？[吃瓜][吃瓜][脱单doge],2024-05-07 08:48:32,0,0,海阔凭鱼跃，天高任鸟飞,山东,否,https://i2.hdslb.com/bfs/face/9137fadf2cf95b18f0ae4fdded782fcd60810dc7.jpg
68,0,220275743520,223852607,Geats浮将军,6,男,有点像球二的数字生命,2024-05-07 03:17:48,0,0,,广西,是,https://i2.hdslb.com/bfs/face/189a5bf472b4837b0a19ca1436b7c3882abf2305.jpg
69,0,220263448096,288795304,神柳清风,5,保密,罗翔老师您好，我想就重庆大桥21岁小伙给女朋友51w跳江事件，想您请教学习。希望您能在百忙之中抽出时间发一个视频来对我们这些青年人进行正确的引导和教育，谢谢,2024-05-07 01:12:06,0,1,,广东,否,https://i1.hdslb.com/bfs/face/06a07dad46ecb426e26e3340b3ae4e6f308066ea.jpg
70,0,220261336672,54466852,如蕤草,5,男,罗老师，讲讲反犹太意识法案呗,2024-05-07 00:47:49,3,3,,北京,否,https://i1.hdslb.com/bfs/face/c800b43a798e54a5ce57b2f0880f36f9ad312387.jpg
71,220261336672,220269076144,1802380626,姜汁白乌龙茶,5,男,对子骂父[吃瓜],2024-05-07 02:13:34,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/6e126401684c61cabac80d6a90f3d848760e8240.jpg
72,220261336672,220447873984,1172100459,wowudi,5,保密,[吃瓜],2024-05-08 06:49:22,0,0,,天津,否,https://i0.hdslb.com/bfs/face/99e3775ee3761f9f06eefc50352122c27dd8f3d0.jpg
73,220269076144,223122658656,1458441589,请叫我鹦酱,5,保密,回复 @本子雷影_艾 : ？？？,2024-05-25 09:19:59,0,0,,广西,否,https://i1.hdslb.com/bfs/face/d1132725cf70aad0aeb20677f02a7bb1980f58b2.jpg
74,0,220237548560,477457866,竟得鹿,4,男,说实话，我现在在想，如果真有记忆储存软件，能将一个人的记忆储存起来，再把记忆插到一个机器人里面，是否算重生，又能否算人，算不算实现了，“血肉苦楚，机械飞升”,2024-05-06 16:24:00,0,0,毕竟几人真得鹿，不知终日梦为鱼。,山东,否,https://i0.hdslb.com/bfs/face/c2270d6950b6e88ff2dc68427f07bbf146049d08.jpg
75,0,220235203392,400616414,静静的蛋1,6,男,应该没有经过同意！经过同意就不会打官司了！,2024-05-06 16:05:49,0,0,00,陕西,否,https://i2.hdslb.com/bfs/face/384eb99da726a31ba8f05fd5338bdb335207b4d9.jpg
76,0,220234962208,400616414,静静的蛋1,6,男,这就是人话！,2024-05-06 16:04:19,0,0,00,陕西,否,https://i2.hdslb.com/bfs/face/384eb99da726a31ba8f05fd5338bdb335207b4d9.jpg
77,0,220214459920,497982010,茶碗里面不装茶,5,男,罗老师，请问胖猫事件里，那名女士构成犯罪吗？如果构成，判什么罪？,2024-05-06 13:57:38,0,1,ATO俱乐部长期招打手，若有需要护航或招聘打手私聊,福建,否,https://i1.hdslb.com/bfs/face/fc646a8bbdf30f78409e3add1bcc248d655f8c26.jpg
78,0,220204515200,1646858749,清风斜阳_,4,保密,罗老师。柏拉图这个人到底是不是虚构的,2024-05-06 12:54:43,0,0,,河北,否,https://i1.hdslb.com/bfs/face/a04f58713e294d80f3f8dd8d5e643e25c455712a.jpg
79,0,220203690528,1693707196,符华符华符华符华,5,女,老师，我想问一下最近那个教练演示闭气让两个工作人员录像，在他明显将要死亡的时候工作人员没有施救并继续录像旁观导致教练死亡的事，究竟应该由谁负责,2024-05-06 12:49:14,0,0,求佛,河北,否,https://i1.hdslb.com/bfs/face/430ad958c7bc74a54c0e5aba12cbd2ebf99a0d81.jpg
80,0,220174394848,1073136929,LISA咏言,4,保密,罗老师，想问问前2天大连球员在完场后打广州守门员，问问这种可以立案报警吗？,2024-05-06 09:27:15,0,1,,广东,否,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg
81,0,220142584688,188036256,旧态复燃,5,保密,罗翔老师  请问徐园案怎么破？,2024-05-06 04:40:23,0,0,,黑龙江,否,https://i0.hdslb.com/bfs/face/44c23d841745e1e3769fbfae1da2711c6eb03717.jpg
82,0,220123565728,409551355,新三国学者,5,保密,罗老师作为基督徒如何评价美国最近通过的反犹太主义意识法案，其中涉及到否定犹太人在耶稣死亡事件中所造成的负面作用,2024-05-06 01:57:31,1,2,幾重にも辛酸を舐め、七難八苦を越え、艱難辛苦の果、満願成就に至る,广东,是,https://i1.hdslb.com/bfs/face/0a6d2fd53a13e51b2831a30757f2b257309a21ec.webp
83,220123565728,220282598464,39704817,SpringerNature,6,男,过于先进且抽象…,2024-05-07 04:12:40,0,1,"介绍一下自己吧
",河南,否,https://i0.hdslb.com/bfs/face/517870e6bc3e53fb2c8ae9f589eaa06555b76a61.jpg
84,0,220119331904,57653436,lzqlebron,6,保密,罗老师，能聊一聊耶稣死因吗,2024-05-06 01:12:18,1,3,,江西,是,https://i0.hdslb.com/bfs/face/b05378082a4037e27a657eb6b14a15e468ce6a58.jpg
85,220119331904,223122675616,1458441589,请叫我鹦酱,5,保密,？？,2024-05-25 09:20:17,0,0,,广西,否,https://i1.hdslb.com/bfs/face/d1132725cf70aad0aeb20677f02a7bb1980f58b2.jpg
86,0,220117205392,1585573952,南澳是个岛2,5,保密,，，,2024-05-06 00:45:22,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
